order_id,invoice_no,order_date,invoice_date,delivery_date,payment_due_date,vendor_id,vendor_name,gst_number,vendor_state,vendor_contact,item_id,item_name,item_category,hsn_code,quantity,unit,unit_price,taxable_amount,cgst_rate,cgst_amount,sgst_rate,sgst_amount,total_tax,total_invoice_amount,payment_status,payment_mode,payment_date,transaction_id,transport_mode,eway_bill_no,received_by,quality_check_status,remarks
1,INV-10001,2025-02-27,2025-03-03,2025-03-10,2025-04-02,V004,Sakthi Traders,33SAKTR1121Z4,Tamil Nadu,+918530946820,I001,Cotton Yarn,Yarn,5205,541,Kg,329,177989,9,16019.01,9,16019.01,32038.02,210027.02,Paid,NEFT,,TXN730729,Road,EWB4264611,Kumar,Approved,
2,INV-10002,2026-01-05,2026-01-09,2026-01-15,2026-02-08,V001,ABC Textiles,33ABCDE1234Z1,Tamil Nadu,+918918591298,I001,Cotton Yarn,Yarn,5205,982,Kg,429,421278,9,37915.02,9,37915.02,75830.04,497108.04,Partial,UPI,,TXN566427,Courier,EWB8275413,Anita,Approved,
3,INV-10003,2024-06-23,2024-06-25,2024-06-30,2024-07-25,V001,ABC Textiles,33ABCDE1234Z1,Tamil Nadu,+917462661557,I003,Grey Fabric,Fabric,6006,840,Kg,324,272160,9,24494.4,9,24494.4,48988.8,321148.8,Paid,RTGS,2024-06-25,TXN858647,Road,EWB2993522,Kumar,Approved,
4,INV-10004,2026-01-07,2026-01-08,2026-01-12,2026-02-07,V002,Sri Yarn Mills,33SRIYM5678Z2,Tamil Nadu,+918466635257,I003,Grey Fabric,Fabric,6006,179,Kg,310,55490,9,4994.1,9,4994.1,9988.2,65478.2,Paid,RTGS,2026-01-08,TXN795287,Courier,EWB9750103,Ravi,Approved,
5,INV-10005,2024-11-13,2024-11-17,2024-11-24,2024-12-17,V002,Sri Yarn Mills,33SRIYM5678Z2,Tamil Nadu,+919873714516,I005,Knitted Cloth,Fabric,6001,518,Kg,436,225848,9,20326.32,9,20326.32,40652.64,266500.64,Partial,UPI,2024-11-17,TXN842172,Courier,EWB2967211,Kumar,Approved,
6,INV-10006,2025-03-24,2025-03-29,2025-03-30,2025-04-28,V005,Vijay Spinning,33VIJSP3141Z5,Tamil Nadu,+919794907716,I001,Cotton Yarn,Yarn,5205,946,Kg,453,428538,9,38568.42,9,38568.42,77136.84,505674.83999999997,Partial,Cheque,2025-03-29,TXN855512,Road,EWB7162614,Suresh,Approved,
7,INV-10007,2024-07-17,2024-07-20,2024-07-21,2024-08-19,V002,Sri Yarn Mills,33SRIYM5678Z2,Tamil Nadu,+917286245990,I005,Knitted Cloth,Fabric,6001,624,Kg,440,274560,9,24710.4,9,24710.4,49420.8,323980.8,Partial,NEFT,2024-07-20,TXN397751,Road,EWB5563174,Suresh,Rejected,
8,INV-10008,2025-08-12,2025-08-13,2025-08-17,2025-09-12,V001,ABC Textiles,33ABCDE1234Z1,Tamil Nadu,+919383808415,I002,Polyester Yarn,Yarn,5402,107,Kg,233,24931,9,2243.79,9,2243.79,4487.58,29418.58,Paid,Cheque,2025-08-13,TXN905659,Road,EWB1531036,Ravi,Rejected,
9,INV-10009,2025-04-02,2025-04-07,2025-04-12,2025-05-07,V004,Sakthi Traders,33SAKTR1121Z4,Tamil Nadu,+918599495701,I002,Polyester Yarn,Yarn,5402,174,Kg,282,49068,9,4416.12,9,4416.12,8832.24,57900.24,Pending,Cheque,2025-04-07,TXN405395,Road,EWB6727830,Kumar,Rejected,
10,INV-10010,2024-02-12,2024-02-14,2024-02-19,2024-03-15,V004,Sakthi Traders,33SAKTR1121Z4,Tamil Nadu,+918271439119,I001,Cotton Yarn,Yarn,5205,896,Kg,462,413952,9,37255.68,9,37255.68,74511.36,488463.36,Pending,NEFT,,TXN482976,Courier,EWB8063818,Anita,Approved,
11,INV-10011,2025-11-15,2025-11-20,2025-11-25,2025-12-20,V001,ABC Textiles,33ABCDE1234Z1,Tamil Nadu,+916336086890,I001,Cotton Yarn,Yarn,5205,742,Kg,273,202566,9,18230.94,9,18230.94,36461.88,239027.88,Pending,RTGS,,TXN633364,Road,EWB9652747,Suresh,Approved,
12,INV-10012,2024-03-28,2024-03-31,2024-04-02,2024-04-30,V005,Vijay Spinning,33VIJSP3141Z5,Tamil Nadu,+919583371622,I005,Knitted Cloth,Fabric,6001,344,Kg,302,103888,9,9349.92,9,9349.92,18699.84,122587.84,Pending,Cheque,2024-03-31,TXN533141,Courier,EWB9028069,Anita,Rejected,
13,INV-10013,2025-10-18,2025-10-23,2025-10-30,2025-11-22,V005,Vijay Spinning,33VIJSP3141Z5,Tamil Nadu,+916120795008,I001,Cotton Yarn,Yarn,5205,670,Kg,371,248570,9,22371.3,9,22371.3,44742.6,293312.6,Pending,UPI,2025-10-23,TXN997316,Road,EWB2162330,Suresh,Approved,
14,INV-10014,2025-06-10,2025-06-13,2025-06-14,2025-07-13,V004,Sakthi Traders,33SAKTR1121Z4,Tamil Nadu,+919657986254,I001,Cotton Yarn,Yarn,5205,152,Kg,497,75544,9,6798.96,9,6798.96,13597.92,89141.92,Paid,NEFT,2025-06-13,TXN163419,Road,EWB9215126,Kumar,Approved,
15,INV-10015,2025-01-02,2025-01-04,2025-01-05,2025-02-03,V001,ABC Textiles,33ABCDE1234Z1,Tamil Nadu,+919756134047,I004,Dyed Fabric,Fabric,6005,218,Kg,494,107692,9,9692.28,9,9692.28,19384.56,127076.56,Pending,NEFT,2025-01-04,TXN135264,Courier,EWB8914564,Kumar,Rejected,
